Eg (keV),Ig(%),Ig erro
121.7817,28.58,0.06
244.6975,7.583,0.019
295.9392,0.447,0.005
329.425,0.128,0.008
344.2785,26.5,0.4
367.7887,0.861,0.005
411.1163,2.234,0.004
416.048,0.1100,0.0019
443.96,0.327,0.019
443.965,2.821,0.019
488.6792,0.419,0.003
503.474,0.149,0.008
563.990,0.489,0.006
566.430,0.1290,0.0019
586.2648,0.459,0.005
656.487,0.1448,0.0019
674.675,0.172,0.004
678.623,0.471,0.004
688.670,0.857,0.008
719.349,0.278,0.008
764.900,0.215,0.024
778.9040,12.942,0.019
810.451,0.320,0.003
841.570,0.1660,0.0024
867.378,4.245,0.019
919.330,0.427,0.006
926.317,0.278,0.005
963.390,0.135,0.003
964.079,14.605,0.021
1005.272,0.646,0.005
1084,0.246,0.008
1085.869,10.207,0.021
1089.737,1.727,0.006
1109.174,0.186,0.008
1112.074,13.644,0.021
1212.948,1.422,0.006
1249.938,0.188,0.004
1292.778,0.105,0.005
1299.140,1.623,0.008
1408.006,21.005,0.024
1457.643,0.502,0.005
1528.103,0.281,0.005
